ax,ay,az,gx,gy,gz,mx,my,mz,acc_mag,rms_acc,acc_var,classification
1.34,-0.03,1.73,-319.82,13.06,-167.42,50.0,-15.0,6.0,2.188469785032455,1.4099244660619235,0.2688673260923985,Normal
-1.31,-1.37,1.47,262.27,102.84,148.86,57.0,-11.0,-1.0,2.398728830026437,1.4262496275196708,0.2799706790122864,Normal
0.14,-1.31,0.27,-79.53,-61.4,85.88,54.0,-19.0,1.0,1.3448419981544302,1.4288218923294813,0.2791206745160559,Normal
0.26,0.27,1.27,57.68,-37.96,125.06,64.0,-13.0,0.0,1.3241601111648094,1.4312655239332777,0.27819239859531275,Normal
0.64,0.02,1.45,-2.69,-85.69,101.01,64.0,-10.0,0.0,1.585086748414736,1.4360842593664203,0.27808751486687067,Normal
0.82,-0.18,1.62,-15.44,-64.09,91.37,62.0,-6.0,-4.0,1.8246095472730597,1.4438175092441565,0.27959855657497634,Normal
0.49,0.35,1.63,40.34,-58.59,135.07,64.0,-6.0,-2.0,1.7376708549089497,1.4500851699124433,0.28050452995974273,Normal
0.07,0.73,1.21,-99.18,-39.86,118.96,65.0,-3.0,0.0,1.4148851543499918,1.4532539351400358,0.2795559265690886,Normal
-0.09,0.41,0.7,-202.51,-96.92,101.07,64.0,-8.0,0.0,0.8162107570964744,1.452022038400244,0.2812945684488029,Normal
-0.37,1.32,0.93,-180.91,-69.03,169.74,71.0,-2.0,-22.0,1.6565627063289818,1.4579986282572424,0.28094476263560725,Normal
-0.25,0.42,1.4,31.62,12.21,185.61,72.0,-4.0,-24.0,1.4828688411319457,1.4622674174035337,0.27958817816718284,Normal
0.25,-0.59,0.97,136.05,39.49,52.67,69.0,-6.0,-15.0,1.162540321881353,1.4636703863916902,0.27842542851685503,Normal
0.06,-0.18,1.44,-69.89,-325.5,-6.1,66.0,-9.0,-2.0,1.4524462124292246,1.4677421435660964,0.276784383020597,Normal
0.29,-1.68,2.46,-62.93,-207.89,39.12,68.0,-1.0,-26.0,2.9930085198675926,1.4945919175480642,0.3015756901514674,Normal
0.45,-1.53,1.51,-138.24,-102.42,77.88,69.0,0.0,-25.0,2.1962467985178713,1.5073314167760188,0.30643019078200673,Normal
0.45,-1.4,1.34,-105.04,-34.36,180.36,71.0,0.0,-13.0,1.9894974239742056,1.517143368307689,0.3081234319855673,Normal
-0.09,-1.05,-0.45,-67.02,-74.95,18.37,66.0,-3.0,-6.0,1.1459057552870566,1.5178356300996494,0.30751377497700155,Normal
0.01,-0.81,1.04,-97.6,-110.05,133.67,65.0,-6.0,-13.0,1.318256424221024,1.5199664469980907,0.3062179951868507,Normal
-0.19,-1.49,0.42,-37.23,-69.52,147.95,65.0,-5.0,-10.0,1.5596794542469294,1.524779000380055,0.30449508036866896,Normal
-0.16,-0.99,0.77,37.96,-25.76,104.31,63.0,-7.0,-14.0,1.2643575443678896,1.5266587699941334,0.30304267630899656,Normal
-0.09,-1.06,0.16,-43.82,6.16,-0.79,59.0,-9.0,-9.0,1.0757787876696585,1.5270556636874768,0.3026000636829385,Normal
0.11,-0.66,0.32,90.58,-6.41,-50.17,70.0,-8.0,-6.0,0.7416872656315464,1.5253579907680688,0.305763775418786,Normal
0.26,0.2,0.29,-81.48,22.16,-78.12,67.0,-7.0,-3.0,0.43783558557979274,1.522227643948171,0.3142667496555895,Normal
0.9,0.69,2.19,-35.03,255.13,-101.01,62.0,-9.0,0.0,2.466211669747753,1.5385142183288394,0.3238227311492529,Normal
0.78,-0.02,0.49,-178.34,224.79,-142.27,62.0,-35.0,17.0,0.9213576938409967,1.5375828432965815,0.3250938601940521,Normal
0.89,-0.72,0.0,-40.16,-193.18,120.54,63.0,-56.0,17.0,1.1447707194019245,1.5377171391384046,0.3249860449865836,Normal
0.45,0.66,2.34,-47.12,-233.4,4.39,66.0,-28.0,10.0,2.472589735479786,1.553460974727077,0.33480829129021833,Normal
0.4,-0.38,1.05,10.01,-76.48,23.93,67.0,-17.0,6.0,1.1861281549647154,1.5565888988425942,0.3292376122283071,Normal
0.4,-0.15,1.34,-38.51,-165.89,160.83,67.0,-8.0,-1.0,1.4064494303031305,1.5564276404638926,0.32924932958122827,Normal
0.05,-0.74,1.1,48.22,-202.64,125.73,63.0,0.0,-10.0,1.3266876045248934,1.5546851771339432,0.32934554499743346,Normal
